[2026-08-12T16:09:17.655Z] GET http://127.0.0.1:8123/ → 200 (2ms, 1367B)
[2026-08-12T16:09:17.660Z] GET http://127.0.0.1:8123/assets/vendor-DCdUOcGn.js → 200 (2ms, 14631B)
[2026-08-12T16:09:17.660Z] GET http://127.0.0.1:8123/assets/prefetch-cache-TwWieQUw.js → 200 (3ms, 4402B)
[2026-08-12T16:09:17.660Z] GET http://127.0.0.1:8123/assets/site-CSF1dJHM.js → 200 (2ms, 618B)
[2026-08-12T16:09:17.660Z] GET http://127.0.0.1:8123/assets/home-kibqGuD5.js → 200 (3ms, 243B)
[2026-08-12T16:09:17.660Z] GET http://127.0.0.1:8123/assets/client-BgIy65Bh.js → 200 (4ms, 21214B)
[2026-08-12T16:09:17.673Z] GET http://127.0.0.1:8123/assets/prefetch-Cm9cEJXn.js → 200 (2ms, 2272B)
[2026-08-12T16:09:30.689Z] GET http://127.0.0.1:8123/_pracht/state/about/index.json → 200 (?ms, 65B)
[2026-08-12T16:09:30.689Z] GET http://127.0.0.1:8123/assets/about-BfGTQIcz.js → 200 (?ms, 279B)
[2026-08-12T16:09:43.055Z] GET http://127.0.0.1:8123/assets/plain-dXhulgKy.js → 200 (8ms, 237B)
[2026-08-12T16:09:49.893Z] GET http://127.0.0.1:8123/_pracht/state/posts/hello-world/index.json → 200 (8ms, 87B)
[2026-08-12T16:09:49.893Z] GET http://127.0.0.1:8123/assets/post-Do0ubtc8.js → 200 (8ms, 305B)
[2026-08-12T16:09:50.195Z] GET http://127.0.0.1:8123/_pracht/state/posts/second-post/index.json → 200 (1ms, 96B)
[2026-08-12T16:09:57.019Z] GET http://127.0.0.1:8123/_pracht/state/dashboard/index.json → 200 (7ms, 51B)
[2026-08-12T16:09:57.019Z] GET http://127.0.0.1:8123/assets/dashboard-CJAKrnkc.js → 200 (7ms, 349B)
[2026-08-12T16:10:05.163Z] GET http://127.0.0.1:8123/_pracht/state/items/42/index.json → 404 (13ms, ?B)
